stationID,startTime,endTime,inNums,outNums
0,2019-01-29 00:00:00,2019-01-29 00:10:00,0.0,1.0
0,2019-01-29 00:10:00,2019-01-29 00:20:00,0.0,2.0
0,2019-01-29 00:20:00,2019-01-29 00:30:00,0.0,0.0
0,2019-01-29 00:30:00,2019-01-29 00:40:00,0.0,0.0
0,2019-01-29 00:40:00,2019-01-29 00:50:00,0.0,0.0
0,2019-01-29 00:50:00,2019-01-29 01:00:00,0.0,0.0
0,2019-01-29 01:00:00,2019-01-29 01:10:00,0.0,0.0
0,2019-01-29 01:10:00,2019-01-29 01:20:00,0.0,0.0
0,2019-01-29 01:20:00,2019-01-29 01:30:00,0.0,0.0
0,2019-01-29 01:30:00,2019-01-29 01:40:00,0.0,0.0
0,2019-01-29 01:40:00,2019-01-29 01:50:00,0.0,0.0
0,2019-01-29 01:50:00,2019-01-29 02:00:00,0.0,0.0
0,2019-01-29 02:00:00,2019-01-29 02:10:00,0.0,0.0
0,2019-01-29 02:10:00,2019-01-29 02:20:00,0.0,0.0
0,2019-01-29 02:20:00,2019-01-29 02:30:00,0.0,0.0
0,2019-01-29 02:30:00,2019-01-29 02:40:00,0.0,0.0
0,2019-01-29 02:40:00,2019-01-29 02:50:00,0.0,0.0
0,2019-01-29 02:50:00,2019-01-29 03:00:00,0.0,0.0
0,2019-01-29 03:00:00,2019-01-29 03:10:00,0.0,0.0
0,2019-01-29 03:10:00,2019-01-29 03:20:00,0.0,0.0
0,2019-01-29 03:20:00,2019-01-29 03:30:00,0.0,0.0
0,2019-01-29 03:30:00,2019-01-29 03:40:00,0.0,0.0
0,2019-01-29 03:40:00,2019-01-29 03:50:00,0.0,0.0
0,2019-01-29 03:50:00,2019-01-29 04:00:00,0.0,0.0
0,2019-01-29 04:00:00,2019-01-29 04:10:00,0.0,0.0
0,2019-01-29 04:10:00,2019-01-29 04:20:00,0.0,0.0
0,2019-01-29 04:20:00,2019-01-29 04:30:00,0.0,0.0
0,2019-01-29 04:30:00,2019-01-29 04:40:00,0.0,1.0
0,2019-01-29 04:40:00,2019-01-29 04:50:00,0.0,0.0
0,2019-01-29 04:50:00,2019-01-29 05:00:00,0.0,0.0
0,2019-01-29 05:00:00,2019-01-29 05:10:00,0.0,0.0
0,2019-01-29 05:10:00,2019-01-29 05:20:00,0.0,0.0
0,2019-01-29 05:20:00,2019-01-29 05:30:00,0.0,0.0
0,2019-01-29 05:30:00,2019-01-29 05:40:00,22.0,0.0
0,2019-01-29 05:40:00,2019-01-29 05:50:00,14.0,0.0
0,2019-01-29 05:50:00,2019-01-29 06:00:00,53.0,1.0
0,2019-01-29 06:00:00,2019-01-29 06:10:00,35.0,0.0
0,2019-01-29 06:10:00,2019-01-29 06:20:00,43.0,0.0
0,2019-01-29 06:20:00,2019-01-29 06:30:00,76.0,1.0
0,2019-01-29 06:30:00,2019-01-29 06:40:00,142.0,25.0
0,2019-01-29 06:40:00,2019-01-29 06:50:00,132.0,23.0
0,2019-01-29 06:50:00,2019-01-29 07:00:00,185.0,9.0
0,2019-01-29 07:00:00,2019-01-29 07:10:00,197.0,14.0
0,2019-01-29 07:10:00,2019-01-29 07:20:00,222.0,11.0
0,2019-01-29 07:20:00,2019-01-29 07:30:00,330.0,28.0
0,2019-01-29 07:30:00,2019-01-29 07:40:00,361.0,42.0
0,2019-01-29 07:40:00,2019-01-29 07:50:00,362.0,38.0
0,2019-01-29 07:50:00,2019-01-29 08:00:00,444.0,56.0
0,2019-01-29 08:00:00,2019-01-29 08:10:00,521.0,47.0
0,2019-01-29 08:10:00,2019-01-29 08:20:00,452.0,96.0
0,2019-01-29 08:20:00,2019-01-29 08:30:00,517.0,117.0
0,2019-01-29 08:30:00,2019-01-29 08:40:00,445.0,195.0
0,2019-01-29 08:40:00,2019-01-29 08:50:00,305.0,245.0
0,2019-01-29 08:50:00,2019-01-29 09:00:00,288.0,127.0
0,2019-01-29 09:00:00,2019-01-29 09:10:00,321.0,103.0
0,2019-01-29 09:10:00,2019-01-29 09:20:00,263.0,75.0
0,2019-01-29 09:20:00,2019-01-29 09:30:00,204.0,57.0
